from,to,cost
24,51,8.6785
24,52,6.0964
24,53,8.0967
24,54,4.7988
24,55,3.7598
24,56,9.2898
24,57,11.3216
24,58,13.6345
24,59,15.9486
25,0,16.6442
25,1,16.8687
25,2,18.3875
25,3,20.474
25,4,12.6684
25,5,14.1008
25,6,12.0173
25,7,10.6521
25,8,10.387
25,9,11.8711
25,10,16.0923
25,11,14.1044
25,12,11.8716
25,13,9.9047
25,14,8.5863
25,15,8.3258
25,16,6.2172
25,17,6.5772
25,18,7.8974
25,19,9.8452
25,20,7.8094
25,21,5.7877
25,22,4.2114
25,23,4.1862
25,24,3.5103
25,25,0.0
25,26,5.1296
25,27,5.9461
25,28,14.569
25,29,14.7894
25,30,17.0223
25,31,18.0458
25,32,19.2535
25,33,15.8168
25,34,17.5011
25,35,14.7284
25,36,15.4325
25,37,17.272
25,38,15.0487
25,39,12.0798
25,40,12.5962
25,41,10.2884
25,42,10.3307
25,43,10.8995
25,44,12.7564
25,45,9.9555
25,46,10.758
25,47,8.4991
25,48,8.0996
25,49,5.3843
25,50,6.4577
25,51,7.9718
25,52,5.3897
25,53,7.39
25,54,4.0921
25,55,2.9991
25,56,9.1234
25,57,13.0432
25,58,13.747
25,59,17.8729
26,0,18.331
26,1,16.6363
26,2,14.6314
26,3,16.7179
26,4,11.9543
26,5,10.3447
26,6,13.7041
